,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
143,112,Terence Davis,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1.0,0.7,0.2,0.8,1.6,6.7,daviste02
144,113,JD Davison,SG,20,BOS,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1.0,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,davisjd01
149,116,Matthew Dellavedova,PG,32,SAC,32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.43,0.1,0.2,0.571,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5,dellama01
151,118,Moussa Diabaté,C,21,LAC,22,1,8.9,1.1,2.1,0.511,0.0,0.1,0.5,1.0,2.0,0.511,0.521,0.5,0.7,0.625,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,diabamo01
152,119,Mamadi Diakite,C,26,CLE,22,2,8.0,1.1,2.3,0.48,0.3,1.0,0.333,0.8,1.3,0.586,0.55,0.1,0.1,1.0,0.4,1.0,1.4,0.4,0.2,0.4,0.5,1.2,2.6,diakima01
158,123,Spencer Dinwiddie,PG,29,BRK,26,26,35.3,5.5,13.7,0.404,1.7,5.7,0.289,3.9,8.0,0.488,0.465,3.8,4.7,0.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5,dinwisp01
159,124,Donte DiVincenzo,SG,26,GSW,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,divindo01
166,131,PJ Dozier,SF,26,SAC,16,0,4.9,0.6,2.1,0.303,0.1,1.0,0.125,0.5,1.1,0.471,0.333,0.0,0.0,,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4,doziepj01
169,132,Goran Dragić,PG,36,MIL,7,0,11.9,2.0,5.1,0.389,1.0,2.4,0.412,1.0,2.7,0.368,0.486,0.6,0.6,1.0,0.4,1.3,1.7,1.7,0.3,0.0,1.0,0.3,5.6,dragigo01
172,135,David Duke Jr.,SG,23,BRK,23,0,9.9,1.6,3.4,0.462,0.0,0.5,0.083,1.5,2.9,0.53,0.468,0.5,0.7,0.706,0.5,0.8,1.3,0.9,0.4,0.0,0.8,1.3,3.7,dukeda01
179,140,Anthony Edwards,SG,21,MIN,79,79,36.0,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,edwaran01
183,142,Keon Ellis,SG,23,SAC,16,0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,elliske01
184,143,Joel Embiid,C,28,PHI,66,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,embiijo01
188,145,Bruno Fernando,C,24,ATL,8,0,5.1,1.4,2.4,0.579,0.0,0.4,0.0,1.4,2.0,0.688,0.579,0.6,0.8,0.833,0.8,1.1,1.9,0.1,0.0,0.4,0.6,0.8,3.4,fernabr01
191,146,Dorian Finney-Smith,PF,29,BRK,26,26,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,finnedo01
194,149,Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,forbebr01
195,150,Trent Forrest,SG,24,ATL,23,3,12.0,1.1,2.6,0.417,0.0,0.1,0.0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,forretr01
